ACE OF SPADES

Forums 
DOWNLOAD BETA 0.75!
Then click a server to join...

Slots	Ping	Country	Mode	Map	Name
32/32	736		tdm	Beaulieu Abbey	Green ones vs Brown pants
32/32	824		ctf	Bridge Wars	D42C-Hosting.eu Test Server
32/32	811		ctf	20thCenturyTown	GieMap - Deutscher Server
32/32	671		ctf	MapChateau	Call of Liberty Ctf 24/7
30/32	737		ctf	pyspades	MKAB CTF 1
32/32	821		tc	Cat s Eye	 Haus der Freuden
31/32	672		tc	bowl	Hampshire Heavies Pyspades
31/32	745		ctf	Harbor 2	www.humancraft.de
32/32	804		tc	Pinpoint	MKAB TC 3
32/32	805		tdm	Pinpoint	MKAB TDM 3
32/32	812		ctf	Bridge Wars	MKAB CTF 2
12/12	813		ctf	chute	Build2Fight.dyndns.org
31/32	736		r1ctf	hallway	aloha.pk r1ctf 24/7 hallway
30/32	796		tdm	Bridge Wars	MKAB TDM 2
9/32	851		ctf	cougar	Destiny-Server
28/32	738		tdm	pyspades	MKAB TDM 1
32/32	738		tdm	faceBattle	KandruDE Arena
32/32	732		infiltr	Castle Assault	aloha.pk infiltration
20/32	737		ctf	Hallway	OKTOBERFEST
4/4	776		ctf	Normandie	SuperServer - German
32/32	693		tdm	Goon Assault	Minit US - Assault
31/32	734		irpg	shaft2	aloha.pk intel rpg
30/32	725		arena	avstorage	aloha.pk last team standing
6/6	736		ctf	pyspades	RedBullAOS
0/32	738		babel	crossfire2	aloha.pk 0.76 test
32/32	699		ctf	Hallway	North European Coalition
31/32	729		zombies	solo	aloha.pk humans vs. zombies
20/20	781		ctf	pyspades	24/7 Polski serwer AOS
32/32	716		ctf	Pinpoint	noame199
2/2	730		ctf	Anticbridge	Slurry In A Hurry
28/32	734		tdm	pyspades	BlueFangSolutions.com East-3
2/32	781		ctf	Standoff	Shams 076 Pyspades
32/32	790		ctf	Oasis	Shams Little Pony
32/32	725		ctf	Normandie	SoFurry.com - Spaded Furs
30/32	728		ctf	Harbor 2	SoFurry.com 2 - Zombies
20/32	734		tdm	killaman	Return of SuperCool Build PBT
26/32	806		tc	pyspades	MKAB TC 1
32/32	646		1ctf	pinpoint	aloha.pk 1ctf 24/7 pinpoint
32/32	798		babel	crossfire2	Minit EU - Babel
31/32	688		ctf	Mesa	Circle of Enmity No Grief/Hacks
4/4	671		ctf	Hallway	ACeOfSpAdEs 3 Admin benzak
30/32	688		ctf	Pinpoint	MKAB CTF 3
4/4	677		ctf	Island	Server
31/32	678		tow	Mesa	TwoMoreTimes.com ToW 32slot
32/32	731		arena	EnanoArena	Call of Liberty Arena 24/7
32/32	701		ctf	Bridge Wars	Public-Craft Ace of Spades
32/32	671		ctf	Anticbridge	JestServers.com France
32/32	733		tc	Hallway	Excalibuur - Karadoc FR
12/12	734		tdm	Pinpoint	jiffypop23 s server
32/32	728		ctf	Pinpoint2	GameHosting.co.uk
25/32	736		ctf	classicgen	aloha.pk ctf 24/7 classicgen
4/4	676		ctf	Bridge Wars	Ape-Craft
28/32	718		ctf	The Other Side	Sandcrawler.net
32/32	659		ctf	league	aloha.pk capture the flag
31/32	680		ffa	facebattle	aloha.pk free for all
30/32	733		tdm	colosseum	aloha.pk tdm island maps
32/32	727		ctf	Hallway	-24/7 HALLWAY-
32/32	839		ctf	random 1353837213	R Item CZ - www.e-item.cz
25/32	720		tow	waterfrontv2	aloha.pk tug of war
31/32	738		ctf	Bridge Wars 1.4	Serealia - Unbreakable Bridge
5/32	672		tdm	Animus	Animus Test Server 076
31/32	731		tow	Normandie 1.2	Serealia - Unbreakable Normandi
29/32	676		tc	urban	Animus Server 2 - TC
4/4	687		ctf	pyspades	chlisistdoof
19/20	672		ctf	Hallway	40k server
32/32	756		ctf	Bridge Wars	Mineguild Pyspades 24/7
27/32	741		ctf	pyspades	IronLegion.de
10/10	671		ctf	Normandie	gur
26/32	747		ctf	Harbor 2	IronLegion.de Server 03
0/32	734		tc	Assault	BlueFangSolutions.com 1
