FieldsBase Awarded Contract Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:52 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract type,Work scope,Value (mil usd),Contractor,Contractor bids,Award date,Start date,End date,Duration (month),Remark
,,,,,Murphy,Construction/Fabrication,Aker/Murphy trees,23,Aker Solutions,,10 Nov 2008,,1 May 2009,,"11/08: Aker to provide subsea trees, control systems, umbilicals and two wellsets and an umbilical."
,,,,,Venture,Construction/Fabrication,FMC/Venture 3 trees,25,FMC,,1 Nov 2008,,,,"11/08: 3 High Tempeature-enhanced horizontal subsea trees. To be built at FMC Technologies, Aberdeen."
,,,,,Repsol,EPC,,,Aker Kvaerner,,6 Feb 2008,,,,SUPPLY TWO SUBSEA TREES c/w CONTROL SYSTEMS TO MONTANZO AND LUBINA PROJECTS
,,,,,,Construction/Fabrication,,,Sea Trucks,,,1 Jul 2007,31 Jul 2008,13.0,Kim Heng's shipyard
,,,,,Operator Tba,Removal EPIC,Decommissioning Contract,750,Superior Energy Services,,2 Jan 2008,2 Jan 2008,2 Jan 2010,24.0,"Awarded contract for the decommissioning of 7 downed platforms and related facilities located offshore Louisiana. Contract awarded by Chevron, BP and Apache. Fixed sum of ##750 million."
,,,,,ONGC,Support,Support platform revamping,,Sarku Marine,,,30 May 2008,30 Jun 2011,36.9,
,,,,,Petronas Carigali,Lease,,,TL Offshore,,,21 Jun 2008,21 Jul 2012,48.9,7/08: 4-year bareboat charter with TL Offshore.
,,,,,Pemex,Support,Seamec II charter,,Condux,,,8 Jul 2008,7 Nov 2008,4.0,
,,,,,Chevron,Installation,Pipelay installation,20,Clough Offshore,,,31 Jul 2008,1 Nov 2008,3.0,
,,,,,Pioneer,Removal EPIC,Hurricane remediation,,IOS,,,1 Oct 2008,30 Nov 2008,2.0,
