FieldsBase Discovery Search - Data Download,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:48 for Dirk Rook,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Region,Country,Block,Field,Well name,Operator,Type,Discovery year,Announced date,Well water depth (m),Zones,Remark
Australia/New Zealand,Australia,WA-374-P,Achilles,Achilles-1,Chevron,Gas,2009,19 Oct 2009,"1,070",1,"TVD: 14,800 feet"
Australia/New Zealand,Australia,WA-205,Acme,Acme-1,Chevron,Gas,2010,16 Aug 2010,878,1,
Australia/New Zealand,Australia,WA-205,Acme West,Acme West-1,Chevron,Gas,2011,28 Oct 2011,925,1,
Australia/New Zealand,Australia,WA-205,Acme West,Acme West-2,Chevron,Gas,2011,28 Oct 2011,925,1,
Australia/New Zealand,Australia,WA-434-P,Alaric,Alaric-1,Woodside,Gas,2010,16 Aug 2010,"1,960",1,
Australia/New Zealand,Australia,WA-8-L,Amulet,Amulet-1,Tap Oil,Oil,2006,15 Jun 2006,85,1,
Australia/New Zealand,Australia,WA-290-P,Antiope,Antiope-1,BHP Billiton,Gas,2000,24 May 2001,200,1,
Australia/New Zealand,Australia,WA-364-P,Arnhem,Arnhem-1,Chevron,Gas,2012,27 Dec 2012,"1,208",1,
Australia/New Zealand,Australia,WA-17-L,Athena (Aus),Athena 1,ExxonMobil,"Gas, Condensate",1997,13 Oct 1997,,1,
Australia/New Zealand,Australia,,Australind,Australind #1,WAPET,"Oil, Gas",1993,8 Nov 1993,10,2,No details
Australia/New Zealand,Australia,,Baker,Baker #1,Apache,"Gas, Condensate",2000,31 Jan 2000,30,2,Abandoned
Australia/New Zealand,Australia,WA-356-P,Balnaves,Balnaves-1,Apache,"Oil, Gas",2009,14 Oct 2010,189,1,
Australia/New Zealand,Australia,,Bambra,Bambra #2,Occidental,Oil,1983,15 Sep 1983,25,1,
Australia/New Zealand,Australia,WA-408-P,Bassett,Bassett West-1,Total,Gas,2013,7 Jun 2013,368,1,
Australia/New Zealand,Australia,WA-290-P,Bianchi,Bianchi-1,Apache,Gas,2013,16 Jul 2013,240,1,
Australia/New Zealand,Australia,VIC/P37,Black Watch,Halladale-1 DW-1,Origin,"Gas, Condensate",2005,22 Mar 2005,46,1,
Australia/New Zealand,Australia,,Blencathra 1A,Blencathra #1A,BHP Billiton,Oil,1995,27 Nov 1995,72,1,Well suspended
Australia/New Zealand,Australia,WA-18-P,Bonaparte LNG,WA-18-P Frigate Deep-1,Santos,Gas,2008,23 Aug 2008,89,1,
Australia/New Zealand,Australia,WA-364-P,Brederode,Brederode-1,Chevron,Gas,2010,13 Aug 2010,"1,387",1,
Australia/New Zealand,Australia,WA-356-P,Brokenwood,Brokenwood-1,Apache,,2009,1 Apr 2009,140,1,
Australia/New Zealand,Australia,WA-356-P,Brulimar,Brulimar-1,Apache,Gas,2008,24 Jan 2008,169,1,
Australia/New Zealand,Australia,WA-356-P,Brunello,Brunello-1,Apache,Gas,2007,10 Sep 2007,154,1,
Australia/New Zealand,Australia,WA-335-P,Bunyip,Bunyip-1,BHP Billiton,Gas,2014,28 Feb 2014,"1,187",1,
Australia/New Zealand,Australia,WA-281-P,Burnside,WA-281-P Burnside-1st1,Santos,Gas,2009,13 Aug 2009,215,1,"TVD: 13,720"
Australia/New Zealand,Australia,,Cadell,Cadell-1,Apache,Gas,1999,15 Nov 1999,17,2,Abandoned; partner Santos considers discovery uneconomic on stand-alone basis.
