FieldsBase Field Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:44 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Project,Operator,Status,Production type,Production start date,Water depth (m),Remark
Hengam/West Bukha,,,,,,Production,,,,02/09: IOOC and RAK Petroleum are sharing this field named Henjam for Farsi and West Bukha for Arabic; but both are developing the field separately
North,,,,,,Production,,,,
Safaniyah,,,,Safaniyah,,Production,,1 Jun 1961,,
Abalone Deep,Australia/New Zealand,Australia,AC/P36,,,Sub-Commercial,,,401,The drilling of a commitment exploration well at Abalone Deep was unsuccessful in late 2008.
Achilles,Australia/New Zealand,Australia,WA-374-P,,Chevron,Discovery,Gas,,"1,070",
Acme,Australia/New Zealand,Australia,WA-205-P,,Chevron,Discovery,Gas,,878,10/11: Acme West 1 and 2 wells drilled in 925 msw uncovered additional resources
Acme West,Australia/New Zealand,Australia,WA-205-P,,,Discovery,Gas,,925,
Agincourt,Australia/New Zealand,Australia,TL/6,Agincourt,Apache,Production,,21 Aug 1997,8,"6.5km from varanus island. Developed via single horizontal well. Partners include kuwait's kufpec with 19.3%, novus 12.5%."
Alaria,Australia/New Zealand,Australia,AC/L5,,Woodside,Discovery,,,402,Mooted poss tie-in to laminaria.Further drilling underway.
Alaric,Australia/New Zealand,Australia,WA-434-P,,,Discovery,Gas,,"1,960",
Amulet,Australia/New Zealand,Australia,WA-8-L,,Tap Oil,Discovery,,,85,01/07:initial results of commerciality testing encouraging. Extension of disc. 34km north west of legendre field & facilities.
Angel,Australia/New Zealand,Australia,WA-3-L,Angel,Woodside,Production,Condensate & Gas,3 Oct 2008,80,"Remotely operated process p/form, new p/line to existing t on 1st trunkline between n. Rankin a + shore. Eos =feed & epcm."
Antiope,Australia/New Zealand,Australia,WA-290-P,,,Discovery,Gas,,200,
Arnhem,Australia/New Zealand,Australia,WA-364-P,,Chevron,Discovery,Gas,,"1,208",
Aroo,Australia/New Zealand,Australia,T/18P,,Origin,Prospect,Condensate & Gas,,80,
Aroo East,Australia/New Zealand,Australia,T/18P,,Origin,Prospect,Condensate & Gas,,80,
Artemis,Australia/New Zealand,Australia,WA-360-P,,MEO Australia,Prospect,,,428,
Athena (Aus),Australia/New Zealand,Australia,WA-17-L,Athena (Aus),ExxonMobil,Production,Condensate & Gas,15 Nov 2001,120,Gas and condensate discovery. 70mmscfd total. Well drilled from rankin a platform; perseus to be further developed
