FieldsBase Fixed Platform Search - Data Download,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:02 for Dirk Rook,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Name,Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Function,Production type,Process module,Accommodation module,Drilling module,Utility module,Well head module,Water depth (m),Remark
N 2585,,,,"Neft Dashlary (Oily Rocks, Neftanye Kamni)",Neft Dashlary Phase 5,SOCAR,Installed,Unknown Fixed,2010,Production/Drilling/Accommodation,Oil,,Y,Y,,Y,46,"8/10 Assumed topside weight 2000 tons
6/10: first of the 4 sub-structures installed. Plt to become operational in Q1 2011.

08/08: Located 500m away from N1887."
PS-4,,,,,North Field Alpha,,Installed,Steel jacket,1991,Production,Oil,,,,,,,
,,,,,Stock Platform,Rutherford,Installed,Steel jacket,1982,Production/Drilling,,Y,N,Y,N,Y,15,Jacket and deck fabrication completed 1982. (Unit later sold to Challenger Minerals)
,,,,,Undesignated (Stock Platform),BP,Installed,Steel jacket,1982,Production/Drilling,,Y,N,Y,N,Y,60,Jacket and deck fabrication completed 1982. (Unit placed in storage)
,,,,,Undesignated (Stock Platform),Chevron,Installed,Steel jacket,1978,Production/Drilling,,Y,N,Y,N,Y,55,Completed 10/78.
,,,,,Undesignated (Stock Platform),Chevron,Installed,Steel jacket,1978,Production,,Y,N,N,N,N,58,Completed 11/78.
,,,,,Undesignated (Stock Platform),Undesignated,Installed,Steel jacket,1994,Production/Drilling,,Y,N,Y,N,Y,20,Jacket fabrication completed 3/94. (Unit placed in storage)
A,,,,,Undesignated (Stock Platform),CGN Producing,Installed,Steel jacket,1986,Production/Drilling,,Y,N,Y,N,Y,66,Completed 2/86. (Placed in storage) (Originally owned by Mark Prod)
B,,,,,Undesignated (Stock Platform),CGN Producing,Installed,Steel jacket,1985,Production,,Y,N,N,N,N,,Completed 1985. (Placed in storage) (Originally owned by Mark Prod)
D1,,,,,Undesignated (Stock Platform),Shell,Installed,Steel jacket,1982,Production,,Y,N,N,N,N,,Deck fabrication completed 9/82.
D3,,,,,Undesignated (Stock Platform),Shell,Installed,Steel jacket,1982,Production,,Y,N,N,N,N,,Deck fabrication completed 9/82.
Agincourt,Australia/New Zealand,Australia,TL/6,Agincourt,Agincourt,Apache,Installed,Monopod,1997,Production,,Y,N,N,N,N,6,
A,Australia/New Zealand,Australia,WA-3-L,Angel,Angel,Woodside,Installed,Steel jacket,2008,Production/Drilling/Accommodation,Condensate & Gas,Y,N,Y,N,Y,80,"04/08: Installation completed in early Apr. Commissioning has started. 

03/08: Dockwise's Black Marlin began transporting 7,300t topside from MMHE's yard in Malaysia to the Angel field on Mar 23. Should arrive on site on Mar 29. Float-over installation will follow. 

01/08: Jacket installed by J Ray's DB30. Flowlines installation underway. The remotely operated processing platform will tie back to the existing North Rankin production facility via a 50km subsea pipeline. 

Eos awarded FEED contract. Final approval for Angel development expected in 4th quarter 2005.Award to Ferguson Modular to supply accomodation modules and associated facilities."
,Australia/New Zealand,Australia,WA-442-P,Barnett/Turtle,Barnett/Turtle,Drillsearch,Possible,Steel jacket,2020,Wellhead,,,,,,N,6,
,Australia/New Zealand,Australia,WA-442-P,Barnett/Turtle,Barnett/Turtle,DVM International,Possible,Steel jacket,2020,Wellhead,Oil,,,,,,23,
A,Australia/New Zealand,Australia,,Barracouta,Barracouta,ExxonMobil,Installed,Steel jacket,1969,Production/Drilling,,Y,N,Y,N,Y,46,Jacket and deck set 2/69.
,Australia/New Zealand,Australia,ZOCA 91-12,Bayu-Undan,Bayu-Undan Phase I,ConocoPhillips,Installed,Steel jacket,2003,Flare,,N,N,N,N,N,80,TIGA = Worley/Fluor Daniel/Aker.
BU-CUQ,Australia/New Zealand,Australia,ZOCA 91-12,Bayu-Undan,Bayu-Undan Phase I,ConocoPhillips,Installed,Steel jacket,2003,Compression,,,Y,,Y,,80,"Aker + Clough = float-over, subcontract OHT for transport of deck. Bridge-connect to DPP pfm. Jacket is installed."
BU-DPP,Australia/New Zealand,Australia,ZOCA 91-12,Bayu-Undan,Bayu-Undan Phase I,ConocoPhillips,Installed,Steel jacket,2003,Production/Drilling,,Y,N,Y,N,Y,80,Aker-Clough = float-over.Oil production figure = condensate.  TIGA =  Worley/Fluor Daniel/Aker. Aker/Clough subcontract OHT for deck transport. Jacket is installed.
BU-WP1,Australia/New Zealand,Australia,ZOCA 91-12,Bayu-Undan,Bayu-Undan Phase I,ConocoPhillips,Installed,Steel jacket,2003,Drilling,,N,N,Y,N,Y,80,Phillips acquired BHP's interest. TIGA = Worley/Fluor Daniel/Aker.
Blacktip Wellhead Production,Australia/New Zealand,Australia,WA-279-P,Blacktip,Blacktip,Eni,Installed,Steel jacket,2009,Wellhead,Condensate & Gas,,,,,Y,52,"Saipem won cont for whp +pipeline, subcontracted to AusGroup for procurement, fab, & loadout of plat."
Frigate Wellhead,Australia/New Zealand,Australia,NT/RL1,Bonaparte LNG,Bonaparte LNG,Gaz de France,Possible,Steel jacket,2018,Wellhead,Gas,,,,,,9,
Tern Wellhead,Australia/New Zealand,Australia,NT/RL1,Bonaparte LNG,Bonaparte LNG,Gaz de France,Possible,Steel jacket,2018,Wellhead,Gas,,,,,,90,
Bream A,Australia/New Zealand,Australia,VIC L/14,Bream,Bream,ExxonMobil,Installed,Steel jacket,1987,Production/Drilling,,Y,N,Y,N,Y,60,Jacket set 10/87. Deck set 11/87.
GBS 2,Australia/New Zealand,Australia,VIC L/14,Bream,Bream,ExxonMobil,Installed,GBS,1996,Production/Drilling,,Y,N,Y,N,Y,61,A $158 million development.
Central Processing Facility (Accommodation),Australia/New Zealand,Australia,,,Browse LNG (Onshore),Woodside,Cancelled,Steel jacket,2017,Accommodation,,Y,Y,,Y,N,100,"02/11: Part of the CPF, bridge-linked to the processing portion of the facility.
04/10: LQ platform expected to have a 13,000T topside and 19,365T jacket."
Central Processing Facility (Processing),Australia/New Zealand,Australia,WA-31-R,Browse LNG,Browse LNG (Onshore),Woodside,Cancelled,Steel jacket,2017,Production,Gas,Y,N,,N,N,100,"02/11: Part of the CPF, bridge-linked to accommodations portion of the facility.LQ cum utility deck will weigh around 21,000 tonnes"
,Australia/New Zealand,Australia,WA-260-P,Buffalo,Buffalo,Nexen,Installed,Steel jacket,1999,Drilling,,N,N,Y,N,Y,30,Tied back to FPSO. Nexen azquired interest and operatorship from BHT Petroleum. Structure scheduled to be removed by end-November 2004.
A,Australia/New Zealand,Australia,,Campbell,Campbell,Apache,Installed,Monopod,1992,Production/Drilling,,Y,N,Y,N,Y,40,Monotower and deck set 3/92.
A,Australia/New Zealand,Australia,TL/2,Chervil,Chervil,WMC,Installed,Monopod,1989,Drilling,,N,N,Y,N,Y,14,Jacket and deck set 8/89.
Cliff Head Alpha (CHA),Australia/New Zealand,Australia,WA-286-P,Cliff Head,Cliff Head,Roc Oil,Installed,Steel jacket,2006,Wellhead,Oil,,,,,Y,18,"Jacket/topside fabricated in Lumut, Malaysia"
Cobia A,Australia/New Zealand,Australia,,Cobia,Cobia,ExxonMobil,Decommissioned,Steel jacket,1982,Production/Drilling,,Y,N,Y,N,Y,93,Jacket and deck set 10/82. (Field shut-in in 1988)
Cobia B,Australia/New Zealand,Australia,,Cobia,Cobia,ExxonMobil,Decommissioned,Steel jacket,1982,Production/Drilling,,Y,N,Y,N,Y,76,Jacket set 2/82. Deck set 7/82. (Field shut-in in 1988)
Cyrano MOPU,Australia/New Zealand,Australia,EP 364,Cyrano,Cyrano,Oil Basins,Possible,Jackup,2016,Production/Drilling,Oil,,,,,,15,
Dolphin,Australia/New Zealand,Australia,,Dolphin,Dolphin,ExxonMobil,Installed,Monopod,1989,Drilling,,N,N,Y,N,Y,42,Jacket and deck set 7/89.
,Australia/New Zealand,Australia,TL/6,Double Island,Double Island,Apache,Installed,Steel jacket,2002,Production,,Y,N,N,N,Y,8,
,Australia/New Zealand,Australia,NT/P48,Evans Shoal,Evans Shoal,Magellan Exploration LLC,Possible,Unknown Fixed,2016,Production,Gas,,,,,,108,"Combined LNG/domestic gas development, with transport to Darwin via 280 miles of new pipeline.
8/09: Under evaluation. No start up date now. Likely 2014-2015"
,Australia/New Zealand,Australia,NT/P48,Evans Shoal,Evans Shoal,MEO Australia,Possible,Steel jacket,2016,Production/Drilling/Accommodation,,N,N,,N,N,33,
Flounder,Australia/New Zealand,Australia,,Flounder,Flounder,ExxonMobil,Decommissioned,Steel jacket,1983,Production/Drilling,,Y,N,Y,N,Y,93,Jacket set 7/83. Deck set 8/83. Field shut-in in 1988.
Fortescue A,Australia/New Zealand,Australia,,Fortescue,Fortescue,ExxonMobil,Installed,Steel jacket,1981,Production/Drilling,,Y,N,Y,N,Y,68,Jacket and deck set 3/81.
Fortescue B,Australia/New Zealand,Australia,,Fortescue,Fortescue,ExxonMobil,Installed,Steel jacket,1982,Production/Drilling,,Y,N,Y,N,Y,69,Jacket and deck set 11/82.
Goodwyn A (GWA),Australia/New Zealand,Australia,WA-5-L,Greater Western Flank Phase 1 (GWF-1),Goodwyn (1995),Woodside,Installed,Steel jacket,1994,Production/Drilling,,Y,Y,Y,Y,Y,131,"Platform underwent a $170 MM foundation repair. Has drilling, production, re-injection, utilities and accommodation facilities. 11/10: Producing from Goodwyn, Echo-Yodel."
Gorgon Phase III fixed,Australia/New Zealand,Australia,WA-2-R,Gorgon/Jansz/Io,Gorgon Phase III,Chevron,Possible,Steel jacket,2025,Compression,,,,,,,200,
Halibut,Australia/New Zealand,Australia,,Halibut,Halibut,ExxonMobil,Installed,Steel jacket,1969,Production/Drilling,,Y,N,Y,N,Y,73,Jacket and deck set 12/69.
Harriet Alpha,Australia/New Zealand,Australia,,Harriet,Harriet,Apache,Installed,Steel jacket,1985,Production/Drilling,,Y,N,Y,N,Y,23,Jacket set 10/85. Deck set 11/85. (Hook-up completed 2/86)
Harriet Bravo,Australia/New Zealand,Australia,,Harriet,Harriet,Apache,Installed,Monopod,1986,Drilling,,N,N,Y,N,Y,23,Monotower and deck set 4/86.
Harriet C,Australia/New Zealand,Australia,,Harriet,Harriet,Apache,Installed,Monopod,1986,Drilling,,N,N,Y,N,Y,23,Monotower and deck set 4/86.
,Australia/New Zealand,Australia,ZOCA 91-12,Hingkip,Hingkip,BHP Billiton,Possible,Steel jacket,2017,Production/Drilling/Accommodation,,N,N,,N,N,21,
John Brookes,Australia/New Zealand,Australia,WA-29-L,John Brookes,John Brookes,Apache,Installed,Steel jacket,2005,Production,,Y,N,N,N,Y,70,Load-out and installationcommenced in January 2005. First production expected in July 2005.
Kingfish A,Australia/New Zealand,Australia,,Kingfish,Kingfish,ExxonMobil,Installed,Steel jacket,1971,Production/Drilling,,Y,N,Y,N,Y,77,Jacket and deck set 1/71.
