FieldsBase Floating Platform Installation Search - Data Download,,,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:03 for Dirk Rook,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Region,Country,Block,Field,Platform name,Project,Operator,Owner,Status,Installation year,Removal year,Type,Function,Production type,Process module,Accommodation module,Drilling module,Utility module,Well head module,Water depth (m),Remark
,,,,Bentley FSO - cancelled,Bentley Extended Well Test,Xcite Energy Resources,,Cancelled,2012,,Ship,FSO,Oil,,Y,,,,110,"2/12: FSO will not now be used for this phase of the project. An early production system will be used instead in a test phase. 

7/11: unit has been hired, but name not disclosed.

11/10: exclusive negotiations, no public tender."
,,,,Langsa FPSO,Langsa FPSO Replacement,Pertamina,,Cancelled,2012,2014,Ship,FPSO,Oil,,,,,,,"10/11: MV8 Langsa Venture FPSO may be re-used or replaced after the re-tender, which is required by local regulations"
,,,,Knock Dee,Pinauna,,,Cancelled,2011,2021,Ship,FSO,,,Y,,,,120,
,,,,PY-3 FPSO,PY-3 FPSO,Hardy,,Cancelled,2014,,Ship,FPSO,Oil & Gas,,,,,,75,
Australia/New Zealand,Australia,WA-356-P,Balnaves,Armada Claire (ex Griffin Venture),Balnaves,Apache,,Installed,2014,2018,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,150,"05/11: Former FPSO Griffin Venture, acquired by Bumi Armada in December 2010 from BHP Billiton

IMO#9052393"
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),Crystal Ocean,Basker-Manta-Gummy (BMG) Phase I,,,Removed,2005,2010,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,120,"9/12 well intervention in Mexico; 3-yr fixed with Blue Marine in Mexico, extension options for up to a further 2 years"
Australia/New Zealand,Australia,,Bayu-Undan,Liberdade,Bayu-Undan Phase I,ConocoPhillips,,Installed,2003,,Ship,FSO,,N,Y,N,N,N,80,
Australia/New Zealand,Australia,NT/RL1,Bonaparte LNG,Bonaparte FLNG,Bonaparte LNG,,,Cancelled,2019,,Ship,FPSO,Gas,,,,,,100,KBR and Technip in design competition. 2.4 MTPA
Australia/New Zealand,Australia,WA-31-R,Browse LNG,Calliance FLNG,Browse FLNG 1,,,Planned,2021,,Ship,FPSO,Condensate & Gas,,,,,,420,
Australia/New Zealand,Australia,WA-32-R,Browse LNG,Brecknock FLNG,Browse FLNG 2,,,Planned,2022,,Ship,FPSO,Condensate & Gas,,,,,,650,
Australia/New Zealand,Australia,WA-30-R,Browse LNG,Browse FLNG 3,Browse FLNG 3,,,Planned,2023,2023,Ship,FPSO,Condensate & Gas,,,,,,400,
Australia/New Zealand,Australia,WA-260-P,Buffalo,FPF3 (ex Jasmine Venture),Buffalo,,,Removed,1999,2004,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,300,
Australia/New Zealand,Australia,NT/P61,Caldita/Barossa,Caldita/Barossa FLNG FPSO,Caldita/Barossa,ConocoPhillips,,Possible,2018,,Ship,FPSO,,N,N,,N,N,137,
Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,Cash-Maple FLNG,Cash-Maple Development,PTTEP,,Planned,2019,,Ship,FPSO,Gas,,,,,,122,Considering conventional LNG and FLNG options
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,Challis Venture FPSO,Challis-Cassini,,,Removed,1989,2010,Barge floating,FPSO,Oil & Gas,Y,Y,,Y,N,77,
Australia/New Zealand,Australia,WA-18-L,Corallina Laminaria,Northern Endeavour,Corallina Laminaria,Woodside,,Installed,1999,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,380,"18 flex riser capacity. SMOE = mate hull/topsides 8/98. 11x10"", 5x6"", 2x8"" risers. Kvaerner Facilities Management (KFM) O&M contractor through November 2004."
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),Okha FPSO,CWLH redevelopment,Woodside,,Installed,2011,,Ship,FPSO,Oil & Gas,,,,,,77,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),FPF4 (Opportunity/Cossack Pioneer),Wanaea/Cossack,,,Removed,1995,2011,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,85,ex Cossack Pioneer
Australia/New Zealand,Australia,AC/L9,Crux,Crux FLNG,Crux FLNG,,,Possible,2019,,Ship,FPSO,Oil & Gas,,,,,,168,Capacity 3.6MMTPA
Australia/New Zealand,Australia,EP 364,Cyrano,Cyrano FSO,Cyrano,,,Possible,2016,,Ship,FSO,Oil,,,,,,15,
Australia/New Zealand,Australia,WA-377-P,Echuca Shoals/Fossetmaker,Echuca Shoals FLNG,Echuca Shoals FLNG,,,Possible,2020,,Ship,FPSO,Condensate & Gas,,,,,,184,
