FieldsBase Mooring Buoy Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:16 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Water depth (m),Vessel max size (dwt),Hose count,Remark
,,,Al-Bakir,Al-Bakir 1981,,Installed,Catenary Anchor Leg Mooring,1981,26,"350,000",3,Unit placed in storage.
,,,Al-Bakir,Al-Bakir 1981,,Installed,Catenary Anchor Leg Mooring,1981,26,"350,000",3,Unit placed in storage.
,,,Algeciras,Algeciras,,Installed,Catenary Anchor Leg Mooring,1975,,"500,000",3,
,,,Anglesey Field,Anglesey Field,Shell,Installed,Catenary Anchor Leg Mooring,1974,39,"550,000",3,Dual underbuoy flexpipe.
,,,Arabian Gulf,Arabian Gulf,,Installed,Catenary Anchor Leg Mooring,1995,30,"457,000",0,"Installed.  $50 MM contract for CALM's, PLEM's and pipelines."
,,,Arabian Gulf,Arabian Gulf,,Installed,Catenary Anchor Leg Mooring,1995,30,"457,000",0,"Installed.  $50MM contract for 2 CALM's PLEM's, and pipelines."
,,,,Atlas Cove SPM,NNPC,Installed,Catenary Anchor Leg Mooring,2000,17,"50,000",1,"Special application: import of ""white"" products."
,,,,Az Zawiya 1976,NOC,Installed,Single Anchor Leg Mooring,1976,26,"100,000",2,
,,,,Az Zawiya Oil Refinery,NOC,Installed,,1974,30,"30,000",2,
,,,,Az Zawiya Oil Refinery,NOC,Installed,Single Anchor Leg Mooring,1974,30,"100,000",2,
,,,,Az Zawiya Oil Refinery,NOC,Installed,Single Anchor Leg Mooring,1976,30,"140,000",2,
,,,Bandar Tahari,Bandar Tahari,NIOC,Installed,Catenary Anchor Leg Mooring,1991,17,"40,000",1,
,,,,Barbers Point,Tesoro,Installed,Catenary Anchor Leg Mooring,1986,27,"150,000",0,
,,,,Bay of Campeche - CALM Buoy,CFE Engineers,Installed,Catenary Anchor Leg Mooring,1994,17,"45,000",0,Fuel offloading system.
,,,Bicudo,Bicudo I,Petrobras,Installed,Catenary Anchor Leg Mooring,1982,120,"53,000",1,
,,,Bir Ali,Bir Ali,,Installed,Catenary Anchor Leg Mooring,1991,20,"20,000",1,
,,,Black Sea Area,Black Sea Area,,Installed,Single Anchor Leg Mooring,1994,20,,0,
,,,4-26,Blk 4-26,,Installed,Catenary Anchor Leg Mooring,1992,76,"80,000",10,Stock unit.
,,,Brega Field,Brega Field 1969,,Installed,Single Anchor Leg Mooring,1969,43,"300,000",1,Unit removed - year unknown.
,,,Brega Field,Brega Field 1985,,Installed,Catenary Anchor Leg Mooring,1985,45,"300,000",1,
,,,Brega Field,Brega Field 1985,,Installed,Catenary Anchor Leg Mooring,1985,45,"300,000",2,
,,,Buckner Bay,Buckner Bay,,Installed,Catenary Anchor Leg Mooring,1970,,"100,000",2,
,,,Busheir Field,Busheir Field,NIOC,Installed,Catenary Anchor Leg Mooring,1985,24,"250,000",2,
,,,Caleta Cordova,Caleta Cordova,,Installed,Catenary Anchor Leg Mooring,1979,27,"60,000",2,
,,,Caleta Olivia,Caleta Olivia,,Installed,Catenary Anchor Leg Mooring,1975,34,"60,000",2,
,,,Caribbean Sea Area,Caribbean Sea Area,CB&I,Installed,Catenary Anchor Leg Mooring,1994,64,"520,000",0,
,,,Chiriqui Grande 1 Field,Chiriqui Grande 1 Field,,Installed,Catenary Anchor Leg Mooring,1982,24,"150,000",2,
,,,Chiriqui Grande 2 Field,Chiriqui Grande 2 Field,,Installed,Catenary Anchor Leg Mooring,1982,22,"150,000",2,
,,,Chiriqui Grande 3 Field,Chiriqui Grande 3 Field,,Installed,Catenary Anchor Leg Mooring,1984,24,"150,000",2,Stock unit.
,,,Chittagong Harbor,Chittagong Harbor,,Installed,Catenary Anchor Leg Mooring,1967,14,"45,000",1,
