FieldsBase Pipeline Search - Data Download,,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:14 for Dirk Rook,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Start region,End region,Start country,End country,Start block,End block,Start field,End field,Start water depth (m),End water depth (m),Project,Operator,Status,Type,Function,Product,Diameter (inch),Length (km),Installation year,Remark
,Central America,,Trinidad and Tobago,,5c,,Block 5(c),,309,5(c),Canadian Superior,Possible,Umbilical,,,2,11,2018,
,Northwest Europe,,Norway,,6507/11,,Aasgard,305,270,Aasgard Compression,Statoil,Installed,Umbilical,,,0,40,2013,
,,,,,,,,305,0,Aasgard Transport Line,Statoil,Installed,Trunkline,Production,Gas,42,330,1999,2nd phase of Asgard Transport Line. Start pipelay 4/99 and remain thru duration of construction season to complete job.
,,,,,,,,12,,Abu Ali Field,Saudi Aramco,Installed,Exportline,Production,Gas,20,3,1986,Pipe terminates at Ras Tanura
,Middle East,,Saudi Arabia,,,,,15,,Abu Sa'Fah Extension,Saudi Aramco,Installed,Umbilical,,,,100,2004,Inter platform power and communication cable delivered by Nexans
,,,,,,,,15,15,Abu Safah LTA,Saudi Aramco,Installed,Flowline,Production,Oil,16,6,2013,
,,,,,,,,15,15,Abu Safah LTA,Saudi Aramco,Installed,Flowline,Production,Oil,16,6,2013,
,Caspian Sea,,Azerbaijan,,,,,120,,ACG - Phase I (Central Azeri),BP,Installed,Umbilical,,,,4,2004,
,Caspian Sea,,Azerbaijan,,,,,120,,ACG - Phase II (West & East Azeri),BP,Installed,Umbilical,,,,8,2006,
,Caspian Sea,,Azerbaijan,,,,,120,120,ACG - Phase II (West & East Azeri),BP,Installed,Umbilical,,,,10,2006,
,Caspian Sea,,Azerbaijan,,,,,175,,ACG - Phase III (DWG),BP,Installed,Umbilical,,,,9,2008,4+5 km
,West Africa,,Nigeria,,OML 113,,Aje,100,91,Aje Phase 1 (oil),Yinka Folawiyo,Tendering,Umbilical,,,,3,2015,
