FieldsBase Project Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:10 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Field,Operator,Status,Development scheme,Production start date,Water depth (m),Remark
Aasgard Swivel Replacement,,,,Aasgard,Statoil,Completed,,1 Jun 2011,290,
Abqaiq blending facility,,,,,Saudi Aramco,Planned,Infrastructure,1 Jul 2018,,
Abu Ali Field,,,,,Saudi Aramco,Completed,Infrastructure,1 Jul 1986,6,
ADCOP Export Terminal,,,,,International Petroleum,Completed,Infrastructure,10 Jan 2011,,
"Albacora, Barracuda, Marlim Fields",,,,,Petrobras,Completed,Infrastructure,1 Jul 1997,914,
Apapa Onshore Terminal,,,,,,Operational,Infrastructure,18 Jan 2008,,01/08: Onshore petroleum terminal in Nigeria
Arabian Gulf SPM,,,,,KOC,Completed,Infrastructure,1 Jul 1995,,
Arabian Gulf SPM Export,,,,,KOC,Completed,Infrastructure,1 Jul 1996,,
Arun LNG,,,,,PT Arun NGL Co.,Operational,Infrastructure,21 May 1977,,
Assaluyeh SPP9/10,,,,,,Completed,Infrastructure,15 Mar 2009,,
Atlas Cove SPM,,,,,NNPC,Completed,Infrastructure,1 Oct 2000,13,
Az Zawiya 1976,,,,,,Completed,Infrastructure,1 Jun 1976,26,
Az Zawiya Oil Refinery,,,,,,Completed,Infrastructure,1 Jun 1974,30,"Az Zawiya oil refinery, completed in 1974, has three offshore berths serving tankers of up to 140,000 dwt for crude and fuel."
Bandar Abas Export Terminal,,,,,,Completed,Infrastructure,1 Jan 2000,,
Barbers Point,,,,,,Completed,Infrastructure,1 Jun 1986,27,
Bay of Campeche - CALM Buoy,,,,,CFE Engineers,Completed,Infrastructure,1 Jul 1994,12,
Bay of Campeche Area,,,,,Pemex,Completed,Infrastructure,1 Jul 1992,46,
Bay of Campeche PR1 (Phase II),,,,,Pemex,Completed,Infrastructure,1 Jul 1996,30,
Beach,,,,,KNPC,Completed,Infrastructure,1 Jul 1986,8,
Beach Pull No 1,,,,,KNPC,Completed,Infrastructure,1 Jul 1986,3,
Beach Pull No 2,,,,,KNPC,Completed,Infrastructure,1 Jul 1986,3,
Black Sea SALM Buoy,,,,,St C Ukraine,Completed,Infrastructure,1 Jul 1994,10,
Block 15 maintenance,,,,Kizomba B,ExxonMobil,Working,Other,30 Aug 2012,"1,127",
Bonny Terminal,,,,,,Operational,Infrastructure,7 Apr 1961,,
Bontang LNG,,,,,PT Badak NGL Company,Operational,Infrastructure,1 Jan 1977,,
BP Field Support Services - Angola,,,,Blk 31 Phase I / NE Blk 31 / PSVM,BP,Operational,,1 Feb 2012,"1,953","Oceaneering awarded a 3-year Field Support Vessel Services contract from BP offshore Angola on Blocks 18 and 31. Includes light subsea construction, inspection, maintenance and repair services on existing and future subsea infrastructure in the blocks."
Bradwood Landing,,,,,Bradwood Landing,Cancelled,Infrastructure,1 Jan 2013,,5/2010- NorthernStar Natural Gas has suspended the project. extended delays in state and federal permitting were cited as the reason the company was forced to suspend the development.
Brazos area,,,,,Walter Oil & Gas,Completed,Infrastructure,1 Jul 1995,9,
Campeche Bay Field,,,,,Pemex,Completed,Infrastructure,1 Jul 1981,23,
Campeche Bay Fields,,,,,Pemex,Completed,Infrastructure,1 Jul 1988,61,
Canaport LNG Terminal,,,,,Repsol,Completed,Infrastructure,27 Jun 2009,,"Canaport LNG is a state-of-the-art LNG receiving and regassification terminal in Saint John, New Brunswick. Is the first LNG regassification plant in Canada. The ability to distribute via pipeline, 1 billion cubic feet (28 million cubic meters) of natural gas a day after we have regasified it from its liquid state."
Cannakale,,,,,Chevron,Completed,Infrastructure,1 Jul 2006,,
Caribbean Sea CALM Buoy,,,,,CB&I,Completed,Infrastructure,1 Jul 1994,,
Catenary Buoy Mooring System,,,,,Pertamina,Completed,Infrastructure,1 Jul 1992,12,
CATS II,,,,,,Cancelled,Infrastructure,15 Aug 2000,,Parallel gas trunk to teesside install 98 delay to 1999 then 2000 awards delayed by partner probs.11/99-bp reexamining economics...
Ceylon Petroleum Refinery,,,,,Ceylon Petroleum,Operational,Infrastructure,1 Jan 1969,,
Chayvo Onshore Production Facility,,,,,,Operational,Infrastructure,12 Oct 2006,,
Chernomornaftogaz pipeline,,,,,,Completed,Infrastructure,31 Aug 1991,,
CIGMA,,,,,PDVSA,Completed,Infrastructure,1 Jan 2014,,
"Coden Ship Channel, Mobile County",,,,,Anadarko,Completed,Infrastructure,1 Jul 2001,8,
Cove Point LNG Terminal,,,,,,Completed,Infrastructure,17 Jan 1978,,Originally began operations in 1978 but fell into disuse. Later resumed imports in 2003.
Covenas 1996,,,,,Ocensa,Completed,Infrastructure,1 Jul 1996,14,"CALM buoy, PLEM, with pipe to onshore terminal. HSM Offshore Steel provided buoy and PLEM, subcontracted by Bluewater Engr. Client was BP/Ocensa Columbia"
CPC Pipeline,,,,,Caspian Pipeline,Completed,Infrastructure,1 Jul 2000,29,
CPCL Chennai Refinery,,,,,,Operational,Infrastructure,1 Jan 1969,,
Das Island,,,,,Bunduq Oil,Completed,Infrastructure,1 Jul 1989,20,
