FieldsBase Requirement Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:50 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract status,Contract type,Work scope,Contractor bids,Commercial bids due,Award date,Start date,End date,Duration (month),Remark
,,,,Oman Oil Terminal Phase 1,Oman Tank Terminal Company,Tendering,FEED,FEED,,,31 Dec 2014,1 Jan 2015,1 Jan 2016,12.0,
,,,,Oman Oil Terminal Phase 1,Oman Tank Terminal Company,Tendering,Project Management,PMC,,,31 Dec 2014,1 Jan 2015,1 Jan 2017,24.0,
Australia/New Zealand,Australia,WA-31-R,Browse LNG,Browse FLNG 1,Woodside,Planned,EPIC,EPIC Browse two FLNG vessel,,,1 May 2016,1 Jul 2016,,,
Australia/New Zealand,Australia,WA-31-R,Browse LNG,Browse FLNG 1,Woodside,Planned,FEED,FEED FLNG,,,1 Jul 2015,1 Jul 2015,1 Jun 2016,11.0,
Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,Cash-Maple Development,PTTEP,Planned,EPIC,2.0 mtpa FLNG Vessel,,,31 Dec 2014,30 Jan 2015,,,"3/13 SBM/Linde no longer involved in project, Hoegh/KBR doing pre-FEED now, sole candidate for lease project, Hoegh owning/operating unit, EPC pkg due out in 2013 and awarding in 2014 maybe when FID takes place, FEED to be done 2014"
Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,Cash-Maple Development,PTTEP,Planned,FEED,FEED for FLNG vessel,,,30 Oct 2014,30 Oct 2014,31 Mar 2015,5.0,
Australia/New Zealand,Australia,WA-285-P,Ichthys,Ichthys,INPEX,Prequalification,Installation,SAI-12-2013 Chartering of Construction Support Vessels,,,1 Dec 2014,1 Feb 2015,7 Apr 2015,2.1,"Phase 1 - Installation of PLET foundation structure, skid and support. To commence in early February 2015 for duration of approximately 15 days

Phase 2 (Optional) - Cleaning up of installation structures e.g. clamps and laydown head"
Australia/New Zealand,Australia,WA-1-R,Scarborough,Scarborough Phase I,ExxonMobil,Planned,EPIC,FLNG vessel,,,31 Mar 2015,1 Jun 2015,,,
Australia/New Zealand,Australia,WA-4-R,Spar (+ Halyard),Spar-2 tieback to Halyard,Apache,Planned,EPIC,Subsea facilities,,,1 Nov 2014,1 Nov 2014,1 Nov 2015,12.0,
Australia/New Zealand,Australia,VIC/L31,West Seahorse,West Seahorse,Hibiscus Petroleum,Tendering,Project Management,Operation/Maintenance,,,5 Dec 2014,5 Dec 2014,,,11/13: Responsible for safe operation of West Seahorse project.
Australia/New Zealand,Australia,VIC/L31,West Seahorse,West Seahorse,Hibiscus Petroleum,Tendering,Construction/Fabrication,Conversion of jackup to MOPU,,,14 Nov 2014,14 Nov 2014,18 Aug 2015,9.1,"11/13: Sale of GSP Britannia and award contract for refurbishment, reactivate class, supply of equipment, integration and installation."
Australia/New Zealand,Australia,VIC/L31,West Seahorse,West Seahorse,Hibiscus Petroleum,Tendering,Lease,FSO Lease,,,1 Dec 2014,1 Dec 2014,18 Aug 2015,8.5,"01/14: Awaiting FID decision before tenders can progress
11/13: Vessel that will store produced oil before selling to the market."
