FieldsBase Subsea Installation Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:17 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Tree supplier,Total wells,Water depth (m),Remark
,,,,,,Cancelled,,2014,,,98,
,,,,,Chevron,Cancelled,Satellite,2015,,,"2,744",The discovery well was drilled in February 2004. Operator has contracted Transocean's drillship Discoverer Deep Seas to conduct exploration and development drilling thru January 2007 with 2 1-yr options.
,,,,Bruce Phase III,BP,Cancelled,Cluster,2001,,8,118,
,,,,Dunbar South,Total,Cancelled,Satellite,2001,,3,145,
,,,,Enochdhu,ConocoPhillips,Construction,Satellite,2014,Dril-Quip,1,141,7/11: 1 well to be drilled in Q3 2012.
,,,,Gendalo/Gehem,Chevron,Tendering,Cluster,2017,,5,"1,793",4 appraisal wells to the Ranggas-1 discovery well were deemed successful. 2 additional wells were drilled to test the north and west parts of Ranggas and found to be commercial.Development concept investigation and engineering are underway.
,,,,Gomez 3b,ATP Oil & Gas,Cancelled,,2014,Dril-Quip,3,884,two additional subsea wells planned - one exploratory well that if sucessful would be tied back.
,,,,Green Canyon 39,Eni,Cancelled,,1998,,,700,Permanently abandoned
,,,,Healey,W & T Offshore,Cancelled,Cluster,2016,,4,737,FPS and subsea completion scenario being looked at. Also could be possible subsea tie-back to nearby infrastructure.
,,,,Kakap,Gulf Resources,Installed,Satellite,1997,ABB Vetco Gray,1,88,
,,,,Kakap,Gulf Resources,Installed,Satellite,1997,ABB Vetco Gray,2,88,
,,,,Kikeh Expansion,Murphy,Installed,Cluster,2012,Aker Solutions,2,"1,330",
,,,,Noxal/Nen/Lalail,Pemex,Possible,,2020,,1,"1,493",
,,,,Noxal/Nen/Lalail,Pemex,Possible,,2020,,1,851,
,,,,Oselvar,DONG,Installed,Template,2012,Aker Kvaerner,3,70,5/10: 3 production wells housed in 4-slot template. Drilled by Maersk Giant. Drilling to begin in May 2011 and will last for 305 days.
,,,,Red Hawk Phase II,Anadarko,Cancelled,,2009,,1,"1,625",
,,,,South Timbalier 288,Mariner Energy,Cancelled,Cluster,2008,,6,116,"Subsea trees will be installed pending drlg results of wells B,C,D & E. Plans unclear for field after purchase by Mariner Energy."
,,,,Thelma,Agip,Installed,Template,1997,FMC,2,130,2010: 5 production wells located at 1 six-slot template
,,,,Thor Southeast,Anadarko,Cancelled,,2003,,,732,
,,,,West Med Phase 1,Hess,Cancelled,,2018,,3,945,
,,,,West Med Phase 1,Hess,Cancelled,Cluster,2018,,5,"1,000",
Australia/New Zealand,Australia,WA-3-L,Angel,Angel,Woodside,Installed,Satellite,2008,FMC,3,90,
