FieldsBase Subsea Tree Search - Data Download,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:21 for Dirk Rook,,,,,,,,,,,,,
,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Country,Block,Field,Subsea id (within field),Project,Operator,Status,Function,Subsea type,Installation year,Tree supplier,Well water depth (m),Remark
,,,,,Bruce Phase III,BP,Cancelled,,Cluster,2001,,118,
,,,,,Bruce Phase III,BP,Cancelled,,Cluster,2001,,118,
,,,,,Bruce Phase III,BP,Cancelled,,Cluster,2001,,118,
,,,,,Bruce Phase III,BP,Cancelled,,Cluster,2001,,118,
,,,,,Bruce Phase III,BP,Cancelled,,Cluster,2001,,118,
,,,,,Bruce Phase III,BP,Cancelled,,Cluster,2001,,118,
,,,,,Bruce Phase III,BP,Cancelled,,Cluster,2001,,118,
,,,,,Bruce Phase III,BP,Cancelled,,Cluster,2001,,118,
,,,,,Dunbar South,Total,Cancelled,,Satellite,2001,,145,
,,,,,Dunbar South,Total,Cancelled,,Satellite,2001,,145,
,,,,,Dunbar South,Total,Cancelled,,Satellite,2001,,145,
,,,,,Gomez 3b,ATP Oil & Gas,Cancelled,,,2013,Dril-Quip,884,Well may come online in 2013.
,,,,,Gomez 3b,ATP Oil & Gas,Cancelled,,,2014,Dril-Quip,884,
,,,,,Gomez 3b,ATP Oil & Gas,Cancelled,,,2014,Dril-Quip,884,exploratory well - MC 710
,,,,,Healey,W & T Offshore,Cancelled,,Cluster,2015,,737,
,,,,,Healey,W & T Offshore,Cancelled,,Cluster,2015,,737,
,,,,,Healey,W & T Offshore,Cancelled,,Cluster,2016,,737,
,,,,,Healey,W & T Offshore,Cancelled,,Cluster,2016,,737,
,,Kakap,Kakap,,Kakap,Gulf Resources,Installed,,Satellite,1997,ABB Vetco Gray,88,
,,Kakap,Kakap,,Kakap,Gulf Resources,Installed,,Satellite,1997,ABB Vetco Gray,88,
,,,,,West Med Phase 1,Hess,Cancelled,Gas Producer,Cluster,2017,,"1,000",
,,,,,West Med Phase 1,Hess,Cancelled,Gas Producer,Cluster,2017,,"1,000",
,,,,,West Med Phase 1,Hess,Cancelled,Gas Producer,Cluster,2017,,"1,000",
,,,,,West Med Phase 1,Hess,Cancelled,Gas Producer,Cluster,2017,,"1,000",
,,,,,West Med Phase 1,Hess,Cancelled,Gas Producer,Cluster,2018,,"1,000",
,,,,,West Med Phase 1,Hess,Cancelled,Gas Producer,,2018,,945,
,,,,,West Med Phase 1,Hess,Cancelled,Gas Producer,,2018,,945,
,,,,,West Med Phase 1,Hess,Cancelled,Gas Producer,,2018,,945,
Australia/New Zealand,Australia,WA-3-L,Angel,#1,Angel,Woodside,Installed,Gas Producer,Satellite,2008,FMC,90,
Australia/New Zealand,Australia,WA-3-L,Angel,#1,Angel,Woodside,Installed,Gas Producer,Satellite,2008,FMC,90,
Australia/New Zealand,Australia,WA-3-L,Angel,#1,Angel,Woodside,Installed,Gas Producer,Satellite,2008,FMC,90,
Australia/New Zealand,Australia,WA-17-L,Athena (Aus),#1,Athena (Aus),ExxonMobil,Installed,,Cluster,2001,,120,
Australia/New Zealand,Australia,WA-17-L,Athena (Aus),#1,Athena (Aus),ExxonMobil,Installed,,Cluster,2001,,120,
Australia/New Zealand,Australia,WA-17-L,Athena (Aus),#1,Athena (Aus),ExxonMobil,Installed,,Cluster,2001,,120,
Australia/New Zealand,Australia,WA-17-L,Athena (Aus),#1,Athena (Aus),ExxonMobil,Installed,,Cluster,2001,,120,
Australia/New Zealand,Australia,AC/P17,Audacious/Tenacious,#1,Audacious/Tenacious,OMV,Possible,,Cluster,2016,,150,
Australia/New Zealand,Australia,AC/P17,Audacious/Tenacious,#2,Audacious/Tenacious,PTTEP,Possible,,,2016,,170,
Australia/New Zealand,Australia,AC/P17,Audacious/Tenacious,#1,Audacious/Tenacious,OMV,Possible,,Cluster,2016,,150,
Australia/New Zealand,Australia,AC/P17,Audacious/Tenacious,#2,Audacious/Tenacious,PTTEP,Possible,,,2016,,170,
Australia/New Zealand,Australia,AC/P17,Audacious/Tenacious,#1,Audacious/Tenacious,OMV,Possible,,Cluster,2016,,150,
Australia/New Zealand,Australia,WA-356-P,Balnaves,#1,Balnaves,Apache,Installed,Water Injector,Cluster,2014,VetcoGray,135,
Australia/New Zealand,Australia,WA-356-P,Balnaves,#1,Balnaves,Apache,Installed,Oil Producer,Cluster,2014,VetcoGray,135,
